participant_id,structure_condition,load_condition,method,statistic,N,mean,sd,p.value,p.approx,is.unique.max,alternative,z_score,time
84,partial,no load,pearson,0.765366751,36,-0.000293119,0.203128065,0.000999001,8.18381E-05,TRUE,greater,3.769345567,input
85,unstructured,no load,pearson,0.433738438,36,0.012883638,0.179974414,0.00999001,0.009682875,FALSE,greater,2.33841461,input
86,partial,no load,pearson,0.741164642,36,-0.000322245,0.194103585,0.002997003,6.67102E-05,FALSE,greater,3.820057665,input
87,unstructured,no load,pearson,0.474772301,36,0.008251215,0.177126048,0.004995005,0.004221304,FALSE,greater,2.633836701,input
88,structured,load,pearson,0.83854816,36,-0.009635083,0.1910229,0.000999001,4.4934E-06,TRUE,greater,4.440217594,input
89,structured,no load,pearson,0.904534034,36,0.009916373,0.197205605,0.000999001,2.86016E-06,TRUE,greater,4.536471779,input
90,partial,no load,pearson,0.765366751,36,-0.004429357,0.191553534,0.001998002,2.92601E-05,FALSE,greater,4.018699584,input
91,structured,load,pearson,0.904534034,36,-0.002144081,0.193651536,0.000999001,1.42039E-06,TRUE,greater,4.682008386,input
92,structured,load,pearson,0.754731908,36,-0.005266352,0.17358025,0.001998002,5.97856E-06,FALSE,greater,4.378368281,input
93,unstructured,load,pearson,0.542456402,36,-0.012739976,0.184064499,0.005994006,0.00127934,FALSE,greater,3.01631428,input
94,structured,load,pearson,0.904534034,36,-0.000938035,0.190219483,0.000999001,9.67276E-07,TRUE,greater,4.760143677,input
95,partial,load,pearson,0.765366751,36,-0.007686236,0.183226494,0.000999001,1.22634E-05,TRUE,greater,4.219111396,input
96,structured,load,pearson,0.904534034,36,0.00663325,0.189110567,0.000999001,1.02709E-06,TRUE,greater,4.748020156,input
97,unstructured,load,pearson,0.617783117,36,-0.003973848,0.193923764,0.004995005,0.000672519,FALSE,greater,3.206192754,input
98,unstructured,no load,pearson,0.651176799,36,0.002504526,0.19534189,0.001998002,0.000448956,FALSE,greater,3.320702351,input
99,partial,load,pearson,0.596231566,36,3.22287E-05,0.175579106,0.000999001,0.000342371,TRUE,greater,3.395616654,input
100,unstructured,no load,pearson,0.460145578,36,0.011895615,0.186541512,0.017982018,0.008131701,FALSE,greater,2.402950189,input
101,structured,load,pearson,0.904534034,36,-0.005226197,0.191797102,0.000999001,1.05108E-06,TRUE,greater,4.743347108,input
102,unstructured,no load,pearson,0.460145578,36,-0.003374401,0.180347859,0.000999001,0.005082812,TRUE,greater,2.570144063,input
103,partial,no load,pearson,0.623302292,36,-9.69087E-19,0.186019315,0.000999001,0.00040298,TRUE,greater,3.350739636,input
104,unstructured,no load,pearson,0.542456402,36,-0.008679302,0.184634545,0.004995005,0.001417852,FALSE,greater,2.985008605,input
105,partial,load,pearson,0.651176799,36,0.005843894,0.180048767,0.001998002,0.000169049,FALSE,greater,3.584211751,input
106,unstructured,no load,pearson,0.52461324,36,0.001888608,0.191414937,0.011988012,0.003158603,FALSE,greater,2.73084557,input
107,unstructured,load,pearson,0.57345391,36,0.003347731,0.193065288,0.004995005,0.001573922,FALSE,greater,2.952919122,input
108,unstructured,load,pearson,0.539722516,36,0.001845503,0.180080939,0.000999001,0.001409282,TRUE,greater,2.986862555,input
109,unstructured,load,pearson,0.584569039,36,-0.002008519,0.192435508,0.006993007,0.00115117,FALSE,greater,3.048177364,input
110,structured,load,pearson,0.83854816,36,-0.004735331,0.197199164,0.000999001,9.5011E-06,TRUE,greater,4.276303575,input
111,structured,no load,pearson,0.816496581,36,0.001020621,0.181555711,0.000999001,3.53447E-06,TRUE,greater,4.491601799,input
113,structured,load,pearson,0.904534034,36,-0.005159194,0.188370947,0.000999001,6.8519E-07,TRUE,greater,4.829265026,input
114,structured,no load,pearson,0.904534034,36,0.00743728,0.196126889,0.000999001,2.39178E-06,TRUE,greater,4.574063048,input
115,unstructured,no load,pearson,0.57345391,36,0.009795213,0.189383037,0.003996004,0.001458798,FALSE,greater,2.976289256,input
116,partial,no load,pearson,0.680785158,36,-0.004649264,0.185886743,0.001998002,0.000113289,FALSE,greater,3.687376582,input
117,partial,no load,pearson,0.642634072,36,-0.004119449,0.18399597,0.000999001,0.000219842,TRUE,greater,3.515041772,input
118,partial,no load,pearson,0.623302292,36,0.001342497,0.177725522,0.000999001,0.00023302,TRUE,greater,3.49955249,input
119,unstructured,no load,pearson,0.497995984,36,-0.001670696,0.185649506,0.005994006,0.00355709,FALSE,greater,2.69145171,input
120,structured,no load,pearson,0.904534034,36,0.011323426,0.189172816,0.001998002,1.16961E-06,FALSE,greater,4.721664705,input
121,structured,load,pearson,0.754731908,36,0.005333439,0.184688232,0.001998002,2.47855E-05,FALSE,greater,4.057640611,input
122,partial,no load,pearson,0.683836859,36,0.011003557,0.190331971,0.001998002,0.000203848,FALSE,greater,3.535051415,input
124,partial,no load,pearson,0.686529655,36,0.005875417,0.195199888,0.000999001,0.000244272,TRUE,greater,3.486960193,input
125,unstructured,no load,pearson,0.56225353,36,0.006682785,0.190856877,0.00999001,0.001801782,FALSE,greater,2.910928624,input
126,partial,no load,pearson,0.651176799,36,-0.003105612,0.181659617,0.002997003,0.000158075,FALSE,greater,3.601694335,input
127,structured,no load,pearson,0.754731908,36,-0.001710726,0.189767507,0.000999001,3.35764E-05,TRUE,greater,3.986154664,input
128,partial,load,pearson,0.630427829,36,-0.001390174,0.18041352,0.001998002,0.000230842,FALSE,greater,3.502054631,input
129,unstructured,load,pearson,0.484208389,36,-0.01178797,0.178910668,0.005994006,0.002782975,FALSE,greater,2.772312933,input
130,unstructured,no load,pearson,0.56225353,36,-0.000353417,0.191141285,0.006993007,0.001623097,FALSE,greater,2.943408838,input
131,unstructured,load,pearson,0.57345391,36,0.001518878,0.189757102,0.003996004,0.001288979,FALSE,greater,3.014037552,input
132,unstructured,no load,pearson,0.56225353,36,0.005461891,0.192190451,0.002997003,0.001883252,FALSE,greater,2.897082743,input
133,structured,no load,pearson,0.83854816,36,-0.004044762,0.186332043,0.000999001,3.06295E-06,TRUE,greater,4.521996913,input
134,structured,no load,pearson,0.816496581,36,-0.006191766,0.190498342,0.000999001,7.85069E-06,TRUE,greater,4.318611584,input
135,structured,load,pearson,0.762492852,36,-0.006438829,0.18823493,0.001998002,2.20424E-05,FALSE,greater,4.084957443,input
136,structured,no load,pearson,0.83854816,36,0.001216717,0.194244079,0.000999001,8.13627E-06,TRUE,greater,4.310717968,input
137,structured,load,pearson,0.762492852,36,-0.004879954,0.194723035,0.001998002,4.0598E-05,FALSE,greater,3.94084247,input
138,partial,no load,pearson,0.736715639,36,0.001669889,0.202115593,0.001998002,0.000138045,FALSE,greater,3.636759239,input
139,partial,no load,pearson,0.626938567,36,5.14456E-19,0.185317829,0.000999001,0.000358434,TRUE,greater,3.383045074,input
141,structured,load,pearson,0.83854816,36,-0.00325554,0.195924126,0.000999001,8.67267E-06,TRUE,greater,4.296580105,input
142,partial,load,pearson,0.619860287,36,-0.005025894,0.186675242,0.000999001,0.000407792,TRUE,greater,3.347450768,input
143,structured,no load,pearson,0.816496581,36,0.007688676,0.18345325,0.000999001,5.19735E-06,TRUE,greater,4.408795729,input
144,partial,no load,pearson,0.741164642,36,0.000483368,0.192633036,0.000999001,6.0267E-05,TRUE,greater,3.845037638,input
145,unstructured,load,pearson,0.57345391,36,0.004742619,0.197279348,0.006993007,0.001970966,FALSE,greater,2.882771551,input
146,structured,no load,pearson,0.754731908,36,-0.000268349,0.177076759,0.000999001,1.0054E-05,TRUE,greater,4.26368915,input
147,structured,load,pearson,0.83854816,36,0.002236128,0.18820054,0.000999001,4.42067E-06,TRUE,greater,4.443728121,input
148,structured,no load,pearson,0.904534034,36,-0.003886146,0.1835446,0.000999001,3.72374E-07,TRUE,greater,4.949315754,input
149,partial,no load,pearson,0.619860287,36,0.001172709,0.179472725,0.001998002,0.000283161,FALSE,greater,3.447251259,input
150,partial,load,pearson,0.710742316,36,-0.005956698,0.181396359,0.000999001,3.89109E-05,TRUE,greater,3.951011029,input
152,unstructured,no load,pearson,0.511458893,36,0.006540474,0.181593022,0.001998002,0.002713808,FALSE,greater,2.780494605,input
153,unstructured,no load,pearson,0.57345391,36,0.002169826,0.197431666,0.005994006,0.001904393,FALSE,greater,2.89357881,input
154,unstructured,load,pearson,0.517602071,36,0.00063448,0.192820626,0.007992008,0.003669245,FALSE,greater,2.681080354,input
155,partial,load,pearson,0.741164642,36,-0.000676716,0.181548375,0.000999001,2.19256E-05,TRUE,greater,4.086191123,input
156,structured,load,pearson,0.904534034,36,-0.001206045,0.193195004,0.000999001,1.37798E-06,TRUE,greater,4.688216872,input
157,partial,load,pearson,0.720669092,36,-0.00614971,0.184632377,0.000999001,4.13268E-05,TRUE,greater,3.93657285,input
158,unstructured,load,pearson,0.470080901,36,-0.002263352,0.187647699,0.007992008,0.00591481,FALSE,greater,2.517186488,input
159,unstructured,load,pearson,0.56225353,36,-0.007004073,0.187381248,0.004995005,0.00119091,FALSE,greater,3.037964624,input
160,structured,load,pearson,0.904534034,36,0.004221159,0.190387461,0.000999001,1.129E-06,TRUE,greater,4.728845422,input
